weights, p, n_neighbors, leaf_size, algorithm
distance, 8, 1, 10, ball_tree
uniform, 8, 1, 10, ball_tree
distance, 8, 1, 10, brute
distance, 8, 1, 11, ball_tree
distance, 8, 2, 11, brute
distance, 8, 1, 11, kd_tree
distance, 8, 1, 12, ball_tree
distance, 8, 2, 12, ball_tree
distance, 8, 1, 12, brute
uniform, 8, 1, 12, brute
distance, 8, 2, 12, brute
distance, 8, 1, 12, kd_tree
uniform, 8, 1, 12, kd_tree
distance, 8, 2, 12, kd_tree
distance, 8, 1, 13, brute
distance, 8, 1, 14, ball_tree
distance, 8, 2, 14, brute
distance, 8, 1, 14, kd_tree
uniform, 8, 1, 14, kd_tree
distance, 8, 1, 15, ball_tree
distance, 8, 2, 15, ball_tree
uniform, 8, 1, 15, brute
distance, 8, 1, 15, kd_tree
distance, 8, 2, 16, ball_tree
uniform, 8, 1, 16, brute
distance, 8, 2, 16, brute
distance, 8, 2, 17, ball_tree
distance, 8, 1, 17, brute
distance, 8, 1, 17, kd_tree
uniform, 8, 1, 17, kd_tree
distance, 8, 2, 18, ball_tree
uniform, 8, 1, 18, kd_tree
distance, 8, 2, 19, ball_tree
distance, 8, 1, 19, brute
distance, 8, 1, 19, kd_tree
distance, 8, 2, 19, kd_tree
distance, 8, 1, 1, ball_tree
uniform, 8, 1, 1, brute
distance, 8, 2, 1, brute
uniform, 8, 1, 20, ball_tree
uniform, 8, 1, 20, brute
distance, 8, 2, 20, brute
distance, 8, 1, 21, ball_tree
uniform, 8, 1, 21, ball_tree
distance, 8, 1, 21, brute
uniform, 8, 1, 21, brute
distance, 8, 2, 21, kd_tree
distance, 8, 1, 22, ball_tree
distance, 8, 2, 22, ball_tree
distance, 8, 1, 23, ball_tree
uniform, 8, 1, 23, ball_tree
distance, 8, 1, 23, kd_tree
distance, 8, 2, 24, ball_tree
uniform, 8, 1, 24, brute
distance, 8, 2, 24, brute
distance, 8, 1, 24, kd_tree
uniform, 8, 1, 24, kd_tree
distance, 8, 2, 24, kd_tree
distance, 8, 2, 25, ball_tree
uniform, 8, 1, 25, brute
distance, 8, 2, 25, brute
uniform, 8, 1, 26, ball_tree
distance, 8, 1, 26, brute
uniform, 8, 1, 26, brute
distance, 8, 2, 26, brute
distance, 8, 1, 26, kd_tree
distance, 8, 2, 26, kd_tree
uniform, 8, 1, 27, ball_tree
distance, 8, 2, 27, ball_tree
distance, 8, 2, 27, brute
distance, 8, 1, 27, kd_tree
distance, 8, 2, 28, ball_tree
distance, 8, 1, 28, brute
uniform, 8, 1, 29, ball_tree
distance, 8, 1, 29, brute
uniform, 8, 1, 29, brute
distance, 8, 2, 29, brute
uniform, 8, 1, 29, kd_tree
distance, 8, 2, 29, kd_tree
distance, 8, 1, 2, brute
uniform, 8, 1, 2, kd_tree
distance, 8, 2, 2, kd_tree
distance, 8, 1, 30, ball_tree
uniform, 8, 1, 30, ball_tree
distance, 8, 1, 30, brute
uniform, 8, 1, 30, brute
distance, 8, 2, 30, kd_tree
distance, 8, 2, 31, ball_tree
distance, 8, 1, 31, brute
uniform, 8, 1, 31, brute
distance, 8, 2, 31, brute
distance, 8, 1, 31, kd_tree
uniform, 8, 1, 31, kd_tree
distance, 8, 1, 32, brute
uniform, 8, 1, 32, brute
distance, 8, 1, 32, kd_tree
uniform, 8, 1, 33, ball_tree
uniform, 8, 1, 33, kd_tree
